條碼,品號,品名,類別,通路,份數,包數,份數價格,包數價格,商品結帳價
4.71E+12,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,其他團媽,1,2,149,69.5,74.5
4.71E+12,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,其他團媽,1,2,149,69.5,74.5
4.71E+12,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400016,1P-16豚末針菇大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400017,1P-17甘栗瓜瓜魚肉大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50400018,1P-18蕃茄時蔬嫰雞大寶寶粥200g,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50500001,2-M寶貝義大利麵,冷凍粥飯,其他團媽,1,2,75,37.5,37.5
,D50500002,2-MS寶貝義大利麵(螺旋麵),冷凍粥飯,其他團媽,1,2,75,37.5,37.5
4.71E+12,D50500003,2-F寶貝米飯,冷凍粥飯,其他團媽,1,2,75,37.5,37.5
4.71E+12,D50500004,2-1醬燒什錦豬肉,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500005,2-2鮮奶起司鮭魚,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500006,2-3馬鈴薯燉牛肉,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500007,2-4塔香虱目魚,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500008,2-5咖哩雞肉,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500009,2-6奶香南瓜雞肉,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500010,2-7香菇豆腐雞肉煲,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
,D50500011,2-8洋蔥魚片,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500013,2-10百菇鮮豚,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50500014,2-11香甜玉米雞肉,冷凍粥飯,其他團媽,1,2,129,59.5,64.5
4.71E+12,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50600011,2-S11田園雞肉燉飯,冷凍粥飯,其他團媽,1,2,179,84.5,89.5
4.71E+12,D50700001,3-3蔬菜高湯,冷凍粥飯,其他團媽,1,2,55,27.5,27.5
,D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800006,A06薑薑好虱目魚粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800007,A07什錦五彩豬肉粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800011,A11棗滋養虱目魚粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,其他團媽,1,2,199,99.5,99.5
,D50900001,B01養氣蓮子香菇雞,冷凍粥飯,其他團媽,1,2,129,64.5,64.5
,D50900002,B02塔香肉燥,冷凍粥飯,其他團媽,1,2,129,64.5,64.5
,D50900003,B03蕃茄馬鈴薯燉肉,冷凍粥飯,其他團媽,1,2,129,64.5,64.5
,D50900004,B04哈佛蔬菜燴鮮魚,冷凍粥飯,其他團媽,1,2,129,64.5,64.5
,D50900005,B05山藥鮮蔬嫰雞,冷凍粥飯,其他團媽,1,2,129,64.5,64.5
,D51000001,C01懷舊高麗菜燉飯,冷凍粥飯,其他團媽,1,2,169,84.5,84.5
,D51000002,C02和風鮭魚彩蔬燉飯,冷凍粥飯,其他團媽,1,2,169,84.5,84.5
,D51000003,C03薑黃野菇蔬食燉飯,冷凍粥飯,其他團媽,1,2,169,84.5,84.5
,D51000004,C04麻香牛肉燉飯,冷凍粥飯,其他團媽,1,2,169,84.5,84.5
,D51000005,C05洋蔥鮮豚燉飯,冷凍粥飯,其他團媽,1,2,169,84.5,84.5
,D51000006,C06蜜薯嫰雞燉飯,冷凍粥飯,其他團媽,1,2,169,84.5,84.5
4.71E+12,E51010001,2-D01後元彩虹水餃,冷凍粥飯,其他團媽,1,1,139,129,139
4.71E+12,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,其他團媽,1,1,149,139,149
4.71E+12,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,其他團媽,1,1,159,159,159
,E51010005,YUDS原味冰糖白木耳飲,冷凍粥飯,其他團媽,1,1,225,225,225
,E51010006,YUDS清香檸檬白木耳飲,冷凍粥飯,其他團媽,1,1,252,252,252
,E51010007,YUDS紅棗枸杞白木耳飲,冷凍粥飯,其他團媽,1,1,225,225,225
,E51010009,YUDS日月潭紅玉白木耳飲,冷凍粥飯,其他團媽,1,1,225,225,225
,E51010014,寶寶義式冰淇淋-藍莓優格,冷凍粥飯,其他團媽,1,1,89,89,89
,E51010015,寶寶義式冰淇淋-優格多多,冷凍粥飯,其他團媽,1,1,89,89,89
,E51010016,寶寶義式冰淇淋-馬達加斯加香草,冷凍粥飯,其他團媽,1,1,89,89,89
,E52010008,單入滴雞精,冷凍粥飯,其他團媽,1,1,0,0,0
,E52010004,咕手指餅乾-玉米米餅,冷凍粥飯,其他團媽,1,2,238,119,119
,E52010006,咕手指餅乾-紅黎米餅,冷凍粥飯,其他團媽,1,2,238,119,119
4.71E+12,E52010007,寶寶豬肉鬆,冷凍粥飯,其他團媽,1,1,119,109,119
,E52010008,單入滴雞精,冷凍粥飯,其他團媽,1,1,159,159,159
,E52010021,【郭老師】常溫副食品|甜椒豬肉粥(6M+),冷凍粥飯,其他團媽,1,2,168,84,84
,E52010022,【郭老師】常溫副食品|蔬菜牛肉粥(6M+),冷凍粥飯,其他團媽,1,2,168,84,84
,E52010023,【郭老師】常溫副食品|蕃茄洋蔥珠貝雞粥(6M+),冷凍粥飯,其他團媽,1,2,144,72,72
,E52010024,【郭老師】常溫副食品|五色蔬菜雞粥(6M+),冷凍粥飯,其他團媽,1,2,168,84,84
,E52010025,【郭老師】常溫副食品|海菜吻仔魚粥(6M+),冷凍粥飯,其他團媽,1,2,168,84,84
,F50100021,滴雞精3入,組合,其他團媽,1,3,439,146.33,439
4710586220018,D50100001,0-1純米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220025,D50100002,0-2南瓜米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220032,D50100003,0-3地瓜米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220049,D50100004,0-4馬鈴薯米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220056,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220063,D50100006,0-6甜菜根米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220070,D50100007,0-7山藥米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220087,D50100008,0-8青江菜米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220094,D50100009,0-9小松葉米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220100,D50100010,0-10青花椰菜米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220117,D50100011,0-11高麗菜米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220124,D50100012,0-12黑木耳米泥,冷凍粥飯,卡多摩,1,4,104,28,28
4710586220148,D50100013,0-13洋蔥米泥,冷凍粥飯,卡多摩,1,4,104,28,28
